electoral_district,name,voters,color_id,color,terr
104,Кемеровская область – Кузбасс – Заводский одномандатный избирательный округ,468276,11,#00ffff,"Беловский городской округ; городской округ Кемеровский: Заводский район; Беловский муниципальный округ; Гурьевский муниципальный округ; Кемеровский муниципальный округ: деревни: Береговая, Денисово, Заря, Камышная, Креково, Маручак, Мозжуха, Пугачи, Смолино, Сухая Речка, поселки: Благодатный, Звездный, Кузбасский, Ленинградский, Мамаевский, Новоискитимск, Новостройка, Пригородный, Семеновский, Смирновский, Ясногорский, разъезд Буреничево, села: Березово, Мазурово, Ягуново; Ленинск-Кузнецкий муниципальный округ; Прокопьевский муниципальный округ: поселки: Артышта, поселок городского типа Краснобродский, станции Дуброво; Промышленновский муниципальный округ; Топкинский муниципальный округ; Юргинский муниципальный округ"
105,Кемеровская область – Кузбасс – Новокузнецкий одномандатный избирательный округ,479791,14,#6495ed,"городской округ Калтанский; городской округ Новокузнецкий; городской округ Осинниковский; Новокузнецкий муниципальный округ: деревни: Глуховка, Крутая, Михайловка, Мостовая, Подгорная, Таловая, Учул, Шарап, поселки: 360 км, 75-й Пикет, Алексеевка, Ананьино, Апанас, Балластный Карьер, Белорус, Верх-Кинерки, Гавриловка, Гавриловка*, Загорский, Заречный, Ивановка, Калиновский, Калмыковский, Кандалеп, Карчагол, Килинск, Ключи, Красинск, Красный Холм, Кузедеево, Кульчаны, Курья, Ленинский, Мир, Мунай, Нижние Кинерки, Николаевка, Новостройка, Новый, Новый Урал, Осман, Подгорный, Подкорчияк, Подстрелка, Пушкино, Рассвет, Рябиновка, Таргайский Дом Отдыха, Урнас, Усть-Тала, Федоровка, Шартонка, Южный, Юла, Юрьевка, села: Бенжереп 1-й, Бенжереп 2-й, Березово, Большая Сулага, Букино, Бунгур, Костенково, Куртуково, Лыс, Малиновка, Сары-Чумыш, Сосновка, Таргай, Шарово; Таштагольский муниципальный округ"
106,Кировская область – Кировский одномандатный избирательный округ,479428,7,#ffa500,"""Город Киров"": Октябрьский район, Первомайский район; городской округ город Котельнич; ""городской округ город Слободской""; городской округ ЗАТО Первомайский; Афанасьевский муниципальный округ; Верхнекамский муниципальный округ; Лузский муниципальный округ; Мурашинский муниципальный округ; Опаринский муниципальный округ; Свечинский муниципальный округ; Фаленский муниципальный округ; Белохолуницкий муниципальный район; Даровской муниципальный район; Зуевский муниципальный район; Котельничский муниципальный район; Нагорский муниципальный район; Омутнинский муниципальный район; Оричевский муниципальный район; Орловский муниципальный район; Подосиновский муниципальный район; Слободской муниципальный район; Шабалинский муниципальный район; Юрьянский муниципальный район"
107,Кировская область – Кирово-Чепецкий одномандатный избирательный округ,518106,6,#ff0000,"""Город Киров"": Ленинский район, Нововятский район; городской округ город Вятские Поляны; городской округ ""Город Кирово-Чепецк""; Арбажский муниципальный округ; Богородский муниципальный округ; Кикнурский муниципальный округ; Лебяжский муниципальный округ; Немский муниципальный округ; Пижанский муниципальный округ; Санчурский муниципальный округ; Унинский муниципальный округ; Верхошижемский муниципальный район; Вятскополянский муниципальный район; Кильмезский муниципальный район; Кирово-Чепецкий муниципальный район; Куменский муниципальный район; Малмыжский муниципальный район; Нолинский муниципальный район; Советский муниципальный район; Сунский муниципальный район; Тужинский муниципальный район; Уржумский муниципальный район; Яранский муниципальный район"
108,Костромская область – Костромской одномандатный избирательный округ,498001,12,#0000ff,
109,Курганская область – Курганский одномандатный избирательный округ,647236,5,#b03060,
110,Курская область – Курский одномандатный избирательный округ,434853,1,#2f4f4f,"городской округ город Железногорск; городской округ город Курск: Центральный административный округ; городской округ город Курчатов; городской округ город Льгов; муниципальный район Дмитриевский район; муниципальный район Железногорский район; муниципальный район Золотухинский район; муниципальный район Конышевский район; муниципальный район Курский район: сельское поселение Бесединский сельсовет, сельское поселение Брежневский сельсовет, сельское поселение Винниковский сельсовет, сельское поселение Камышинский сельсовет, сельское поселение Моковский сельсовет, сельское поселение Нижнемедведицкий сельсовет, сельское поселение Ноздрачевский сельсовет, сельское поселение Пашковский сельсовет, сельское поселение Полянский сельсовет, сельское поселение Щетинский сельсовет; муниципальный район Курчатовский район; муниципальный район Льговский район; муниципальный район Поныровский район; муниципальный район Фатежский район; муниципальный район Хомутовский район"
111,Курская область – Сеймский одномандатный избирательный округ,437628,11,#00ffff,"городской округ город Курск: Железнодорожный административный округ, Сеймский административный округ; городской округ город Щигры; муниципальный район Беловский район; муниципальный район Большесолдатский район; муниципальный район Глушковский район; муниципальный район Горшеченский район; муниципальный район Касторенский район; муниципальный район Кореневский район; муниципальный район Курский район: сельское поселение Ворошневский сельсовет, сельское поселение Клюквинский сельсовет, сельское поселение Лебяженский сельсовет, сельское поселение Новопоселеновский сельсовет, сельское поселение Полевской сельсовет, сельское поселение Рышковский сельсовет, сельское поселение Шумаковский сельсовет; муниципальный район Мантуровский район; муниципальный район Медвенский район; муниципальный район Обоянский район; муниципальный район Октябрьский район; муниципальный район Пристенский район; муниципальный район Рыльский район; муниципальный район Советский район; муниципальный район Солнцевский район; муниципальный район Суджанский район; муниципальный район Тимский район; муниципальный район Черемисиновский район; муниципальный район Щигровский район"
112,Ленинградская область – Всеволожский одномандатный избирательный округ,476487,14,#6495ed,"Всеволожский муниципальный район: Бугровское городское поселение, Всеволожское городское поселение, Дубровское городское поселение, Колтушское городское поселение, Кузьмоловское городское поселение, Морозовское городское поселение, Муринское городское поселение, Рахьинское городское поселение, Сертоловское городское поселение, Токсовское городское поселение, Агалатовское сельское поселение, Куйвозовское сельское поселение, Лесколовское сельское поселение, Новодевяткинское сельское поселение, Романовское сельское поселение, Щегловское сельское поселение, Юкковское сельское поселение; Выборгский муниципальный район; Приозерский муниципальный район"
113,Ленинградская область – Гатчинский одномандатный избирательный округ,476666,6,#ff0000,Сосновоборский городской округ; Гатчинский муниципальный округ; Волосовский муниципальный район; Кингисеппский муниципальный район; Ломоносовский муниципальный район; Лужский муниципальный район; Сланцевский муниципальный район
114,Ленинградская область – Волховский одномандатный избирательный округ,481469,8,#ffff00,"Бокситогорский муниципальный район; Волховский муниципальный район; Всеволожский муниципальный район: Заневское городское поселение, Свердловское городское поселение; Киришский муниципальный район; Кировский муниципальный район; Лодейнопольский муниципальный район; Подпорожский муниципальный район; Тихвинский муниципальный район; Тосненский муниципальный район"
115,Липецкая область – Липецкий одномандатный избирательный округ,443681,10,#00fa9a,"городской округ город Елец; городской округ город Липецк: Правобережный округ, Советский округ; Данковский муниципальный округ; Елецкий муниципальный округ; Краснинский муниципальный округ; Лебедянский муниципальный округ; Липецкий муниципальный округ; Чаплыгинский муниципальный округ; Лев-Толстовский муниципальный район"
116,Липецкая область – Левобережный одномандатный избирательный округ,447047,12,#0000ff,"городской округ город Липецк: Левобережный округ, Октябрьский округ; Воловский муниципальный округ; Грязинский муниципальный округ; Добринский муниципальный округ; Добровский муниципальный округ; Долгоруковский муниципальный округ; Задонский муниципальный округ; Измалковский муниципальный округ; Становлянский муниципальный округ; Тербунский муниципальный округ; Усманский муниципальный округ; Хлевенский муниципальный округ"
117,Магаданская область – Магаданский одномандатный избирательный округ,96892,14,#6495ed,
118,Московская область – Балашихинский одномандатный избирательный округ,460958,7,#ffa500,городской округ Балашиха; городской округ Реутов
119,Московская область – Дмитровский одномандатный избирательный округ,521488,2,#8b4513,городской округ Лобня; городской округ Солнечногорск; городской округ Химки; Дмитровский муниципальный округ
120,Московская область – Коломенский одномандатный избирательный округ,460906,13,#ff00ff,"городской округ Воскресенск; городской округ Кашира; городской округ Коломна; муниципальный округ Зарайск; муниципальный округ Луховицы; муниципальный округ Серебряные Пруды; Раменский муниципальный округ: деревни: Аргуново, Белозериха, Бельково, Бисерово, Бояркино, Бубново, Булгаково, Владимировка, Вохринка, Забусово, Захариха, Захарово, Колоколово, Колупаево, Костино, Кузнецово, Лаптево, Локтевая, Лубнинка, Лысцево, Морозово, Надеждино, Никулино, Новомайково, Першино, Петровское, Пласкинино, Поддубье, Рыбаки, Слободино, Слободка, Старниково, Старомайково, Торопово, Федино, Фомино, Фоминское, Юрасово, Юрово, Яньшино, поселки: Дружба, Машиностроитель, Мирный, ремзавода, станции Бронницы, села: Бисерово, Боршева, Давыдово, Малахово, Малышево, Марково, Михеево, Никитское, Рыболово, Степановское, Татаринцево, Ульянино, Юсупово"
121,Московская область – Красногорский одномандатный избирательный округ,560975,12,#0000ff,городской округ Восход; городской округ Клин; городской округ Красногорск; Волоколамский муниципальный округ; муниципальный округ Истра; муниципальный округ Лотошино; Можайский муниципальный округ; муниципальный округ Шаховская
122,Московская область – Люберецкий одномандатный избирательный округ,527464,13,#ff00ff,городской округ Котельники; Ленинский городской округ; городской округ Люберцы
123,Московская область – Мытищинский одномандатный избирательный округ,464620,9,#7fff00,городской округ Долгопрудный; городской округ Королёв; городской округ Мытищи
124,Московская область – Одинцовский одномандатный избирательный округ,560565,3,#008000,городской округ Власиха; городской округ Краснознаменск; городской округ Молодежный; Наро-Фоминский городской округ; Одинцовский городской округ; Рузский муниципальный округ
125,Московская область – Орехово-Зуевский одномандатный избирательный округ,520099,8,#ffff00,Орехово-Зуевский городской округ; Павлово-Посадский городской округ; городской округ Электросталь; муниципальный округ Егорьевск; муниципальный округ Шатура
126,Московская область – Подольский одномандатный избирательный округ,547138,4,#00008b,"городской округ Домодедово; городской округ Жуковский; городской округ Лыткарино; городской округ Подольск; Раменский муниципальный округ: деревни: Василево, Вишняково, Галушино, Денежниково, Дор, Дурниха, Дьяково, Ждановское, Жирошкино, Жуково, Заозерье, Запрудное, Ивановка, Какузево, Каменное Тяжино, Кочина Гора, Кулаково, Малое Саврасово, Малышево, Нестерово, Нижнее Мячково, Овчинкино, Панино, Плетениха, Починки, Прудки, Пушкино, Редькино, Рогачево, Сельвачево, Сельцо, Титово, Хлыново, Чулково, Ширяево, Шувайлово, Щеголево, поселки: Денежниково, им. Тельмана, Раменской агрохимстанции (РАОС), села: Вишняково, Воскресенское, Ганусово, Еганово, Зеленая Слобода, Ильинское, Константиново, Михайловская Слобода, Салтыково, Синьково"
127,Московская область – Сергиево-Посадский одномандатный избирательный округ,503805,5,#b03060,городской округ Дубна; городской округ Пушкинский; Сергиево-Посадский городской округ; Талдомский городской округ
128,Московская область – Серпуховский одномандатный избирательный округ,549438,10,#00fa9a,"городской округ Бронницы; городской округ Серпухов; городской округ Ступино; Раменский муниципальный округ: город Раменское, деревни: Агашкино, Аксеново, Амирово, Апариха, Арменево, Большое Ивановское, Бритово, Васильево, Верея, Вертячево, Верхнее Велино, Власово, Воловое, Вялки, Головино, Денисьево, Дергаево, Заболотье, Залесье, Капустино, Клишева, Копнино, Коробово, Косякино, Левино, Липкино, Литвиново, Лужки, Макаровка, Митьково, Натальино, Нащекино, Нижнее Велино, Новомарьинка, Осеченки, Паткино, Патрикеево, Первомайка, Пестовка, Подберезное, Полушкино, Поповка, Сафоново, Семеновское, Соколово-Хомьяново, Спас-Михнево, Становое, Старково, Тимонино, Толмачево, Тяжино, Устиновка, Холуденево, Чекменево, Шилово, Шмеленки, поселки: Ганусово, Гжелка, Дубовая Роща, Рылеево, санатория ""Раменское"", совхоза ""Красковский"", совхоза ""Раменское"", совхоза ""Сафоновский"", Спартак, поселки городского типа: Быково, Ильинский, Кратово, Родники, Удельная, села: Быково, Григорово, Заворово, Загорново, Зюзино, Кривцы, Никоновское, Никулино, Новое, Петровское, Слободка, Софьино, Строкино; муниципальный округ Чехов"
129,Московская область – Щёлковский одномандатный избирательный округ,461286,1,#2f4f4f,"Богородский городской округ; городской округ Звездный городок; городской округ Лосино-Петровский; городской округ Фрязино; городской округ Черноголовка; городской округ Щёлково; Раменский муниципальный округ: деревни: Антоново, Аринино, Бахтеево, Володино, Вороново, Глебово, Григорово, Дементьево, Донино, Жирово, Коломино, Коняшино, Кошерово, Кузяево, Меткомелино, Мещеры, Минино, Обухово, Сидорово, Трошково, Турыгино, Фенино, Фрязино, Хрипань, Шевлягино, поселки: Гжель, Гжельского кирпичного завода, комбината стройматериалов-1, комбината стройматериалов-2, Кузяевского фарфорового завода, Шевлягинского завода, Электроизолятор, села: Гжель, Захарово, Игнатьево, Игумново, Карпово, Новохаритоново, Поповка, Речицы"
130,Мурманская область – Мурманский одномандатный избирательный округ,542247,11,#00ffff,
131,Нижегородская область – Нижегородский одномандатный избирательный округ,468305,14,#6495ed,"городской округ город Нижний Новгород: Кстовский район, Нижегородский район, Советский район; Большеболдинский муниципальный округ; Большемурашкинский муниципальный округ; Бутурлинский муниципальный округ; муниципальный округ Воротынский; Гагинский муниципальный округ; Княгининский муниципальный округ; Краснооктябрьский муниципальный округ; Лысковский муниципальный округ; Пильнинский муниципальный округ; Сергачский муниципальный округ; Сеченовский муниципальный округ; Спасский муниципальный округ"
132,Нижегородская область – Приокский одномандатный избирательный округ,498220,10,#00fa9a,"городской округ город Арзамас; городской округ город Нижний Новгород: Ленинский район, Приокский район, Новинский сельсовет; городской округ город Саров; муниципальный округ город Первомайск; Богородский муниципальный округ: Каменский сельсовет; Вадский муниципальный округ; Дальнеконстантиновский муниципальный округ; Дивеевский муниципальный округ; Лукояновский муниципальный округ; муниципальный округ Перевозский; Починковский муниципальный округ; Шатковский муниципальный округ"
133,Нижегородская область – Автозаводский одномандатный избирательный округ,525132,15,#ee82ee,"городской округ город Выкса; городской округ город Кулебаки; городской округ город Нижний Новгород: Автозаводский район; Ардатовский муниципальный округ; Богородский муниципальный округ: город Богородск, Алешковский сельсовет, Доскинский сельсовет, Дуденевский сельсовет, Хвощевский сельсовет, Шапкинский сельсовет; Вачский муниципальный округ; Вознесенский муниципальный округ; муниципальный округ Навашинский; Павловский муниципальный округ; Сосновский муниципальный округ"
134,Нижегородская область – Канавинский одномандатный избирательный округ,491344,13,#ff00ff,"городской округ город Дзержинск; городской округ город Нижний Новгород: Канавинский район, Московский район; Балахнинский муниципальный округ; Володарский муниципальный округ"
135,Нижегородская область – Борский одномандатный избирательный округ,487347,1,#2f4f4f,городской округ город Нижний Новгород: Сормовский район; муниципальный округ город Бор; муниципальный округ город Чкаловск; муниципальный округ город Шахунья; Варнавинский муниципальный округ; Ветлужский муниципальный округ; Воскресенский муниципальный округ; Городецкий муниципальный округ; Ковернинский муниципальный округ; Краснобаковский муниципальный округ; муниципальный округ Семеновский; муниципальный округ Сокольский; Тонкинский муниципальный округ; Тоншаевский муниципальный округ; Уренский муниципальный округ; Шарангский муниципальный округ
136,Новгородская область – Новгородский одномандатный избирательный округ,469723,14,#6495ed,
137,Новосибирская область – Новосибирский одномандатный избирательный округ,540373,15,#ee82ee,"городской округ город Новосибирск: Железнодорожный район, Заельцовский район, Калининский район; городской округ город Обь; Венгеровский муниципальный округ; Северный муниципальный округ; Татарский муниципальный округ; Убинский муниципальный округ; Чановский муниципальный округ; муниципальный район Колыванский район; муниципальный район Куйбышевский район; муниципальный район Кыштовский район; муниципальный район Новосибирский район: сельское поселение Криводановский сельсовет, сельское поселение Кубовинский сельсовет, сельское поселение Кудряшовский сельсовет, сельское поселение Мочищенский сельсовет, сельское поселение Станционный сельсовет; муниципальный район Усть-Таркский район; муниципальный район Чистоозерный район"
138,Новосибирская область – Центральный одномандатный избирательный округ,559976,9,#7fff00,"городской округ город Новосибирск: Дзержинский район, Октябрьский район, Центральный район; городской округ рабочий поселок Кольцово; Маслянинский муниципальный округ; муниципальный район Болотнинский район; муниципальный район Мошковский район; муниципальный район Новосибирский район: сельское поселение Барышевский сельсовет, сельское поселение Березовский сельсовет, сельское поселение Каменский сельсовет, сельское поселение Новолуговской сельсовет, сельское поселение Плотниковский сельсовет, сельское поселение Раздольненский сельсовет; муниципальный район Тогучинский район; муниципальный район Черепановский район"
139,Новосибирская область – Искитимский одномандатный избирательный округ,521089,1,#2f4f4f,"городской округ город Бердск; городской округ город Искитим; городской округ город Новосибирск: Первомайский район, Советский район; Карасукский муниципальный округ; Сузунский муниципальный округ; муниципальный район Баганский район; муниципальный район Искитимский район; муниципальный район Кочковский район; муниципальный район Краснозерский район; муниципальный район Новосибирский район: городское поселение рабочий поселок Краснообск, сельское поселение Боровской сельсовет, сельское поселение Мичуринский сельсовет, сельское поселение Морской сельсовет; муниципальный район Ордынский район"
140,Новосибирская область – Барабинский одномандатный избирательный округ,558847,3,#008000,"городской округ город Новосибирск: Кировский район, Ленинский район; Доволенский муниципальный округ; муниципальный район Барабинский район; муниципальный район Здвинский район; муниципальный район Каргатский район; муниципальный район Коченевский район; муниципальный район Купинский район; муниципальный район Новосибирский район: сельское поселение Верх-Тулинский сельсовет, сельское поселение Толмачевский сельсовет, сельское поселение Ярковский сельсовет; муниципальный район Чулымский район"
141,Омская область – Омский одномандатный избирательный округ,482720,3,#008000,"городской округ город Омск: Октябрьский административный округ, Центральный административный округ; муниципальный округ Калачинский район; муниципальный округ Кормиловский район; муниципальный округ Нововаршавский район; муниципальный округ Оконешниковский район; муниципальный округ Павлоградский район; муниципальный район Омский район: сельское поселение Андреевское, сельское поселение Богословское, сельское поселение Красноярское, сельское поселение Петровское, сельское поселение Покровское, сельское поселение Ростовкинское; муниципальный район Русско-Полянский район; муниципальный район Черлакский район"
142,Омская область – Москаленский одномандатный избирательный округ,517744,14,#6495ed,"городской округ город Омск: Кировский административный округ, Ленинский административный округ; муниципальный округ Азовский немецкий национальный район; муниципальный округ Марьяновский район; муниципальный округ Москаленский район; муниципальный округ Одесский район; муниципальный округ Полтавский район; муниципальный округ Таврический район; муниципальный округ Шербакульский район; муниципальный район Омский район: сельское поселение Ачаирское, сельское поселение Иртышское, сельское поселение Калининское, сельское поселение Комсомольское, сельское поселение Лузинское, сельское поселение Магистральное, сельское поселение Морозовское, сельское поселение Новоомское, сельское поселение Розовское, сельское поселение Троицкое, сельское поселение Усть-Заостровское"
143,Омская область – Любинский одномандатный избирательный округ,455681,1,#2f4f4f,"городской округ город Омск: Советский административный округ; муниципальный округ Большереченский район; муниципальный округ Большеуковский район; муниципальный округ Горьковский район; муниципальный округ Исилькульский район; муниципальный округ Колосовский район; муниципальный округ Крутинский район; муниципальный округ Любинский район; муниципальный округ Называевский район; муниципальный округ Нижнеомский район; муниципальный округ Саргатский район; муниципальный округ Седельниковский район; муниципальный округ Тарский район; муниципальный округ Тевризский район; муниципальный округ Тюкалинский район; муниципальный округ Усть-Ишимский район; муниципальный район Знаменский район; муниципальный район Муромцевский район; муниципальный район Омский район: городское поселение Чернолучинское, сельское поселение Дружинское, сельское поселение Ключевское, сельское поселение Надеждинское, сельское поселение Новотроицкое, сельское поселение Омское, сельское поселение Пушкинское"
144,Оренбургская область – Оренбургский одномандатный избирательный округ,514836,12,#0000ff,"городской округ город Оренбург: Ленинский район, Центральный район; Соль-Илецкий муниципальный округ; Сорочинский муниципальный округ; муниципальный район Илекский район; муниципальный район Курманаевский район; муниципальный район Новосергиевский район; муниципальный район Оренбургский район; муниципальный район Первомайский район; муниципальный район Переволоцкий район; муниципальный район Ташлинский район; муниципальный район Тоцкий район"
145,Оренбургская область – Бугурусланский одномандатный избирательный округ,513675,10,#00fa9a,"городской округ город Бугуруслан; городской округ город Бузулук; городской округ город Оренбург: Дзержинский район, Промышленный район; Абдулинский муниципальный округ; муниципальный район Александровский район; муниципальный район Асекеевский район; муниципальный район Бугурусланский район; муниципальный район Бузулукский район; муниципальный район Грачевский район; муниципальный район Красногвардейский район; муниципальный район Матвеевский район; муниципальный район Октябрьский район; муниципальный район Пономаревский район; муниципальный район Сакмарский район; муниципальный район Северный район; муниципальный район Тюльганский район; муниципальный район Шарлыкский район"
146,Оренбургская область – Орский одномандатный избирательный округ,474846,15,#ee82ee,городской округ город Медногорск; городской округ город Новотроицк; городской округ город Орск; городской округ ЗАТО пос. Комаровский; Гайский муниципальный округ; Кувандыкский муниципальный округ; Ясненский муниципальный округ; муниципальный район Адамовский район; муниципальный район Акбулакский район; муниципальный район Беляевский район; муниципальный район Домбаровский район; муниципальный район Кваркенский район; муниципальный район Новоорский район; муниципальный район Саракташский район; муниципальный район Светлинский район
147,Орловская область – Орловский одномандатный избирательный округ,593123,2,#8b4513,
148,Пензенская область – Пензенский одномандатный избирательный округ,490604,1,#2f4f4f,"городской округ город Кузнецк; городской округ город Пенза: Ленинский район, Первомайский район; муниципальный район Городищенский район; муниципальный район Камешкирский район; муниципальный район Колышлейский район; муниципальный район Кузнецкий район; муниципальный район Лопатинский район; муниципальный район Лунинский район; муниципальный район Малосердобинский район; муниципальный район Неверкинский район; муниципальный район Никольский район; муниципальный район Пензенский район; муниципальный район Сердобский район; муниципальный район Сосновоборский район; муниципальный район Шемышейский район"
